100.96	15.09	193.53	124.94	40.78	87	35.58
101.38	15.14	196.47	125.52	40.79	86.94	35.7
101.5	15.24	195.11	125.97	40.57	86.45	35.42
100.31	14.95	193.14	125.73	41.03	85.36	35.08
100.73	15.95	189.63	123.99	41.01	84.47	34.49
99.84	16.34	190.22	124.3	40.7	84.59	34.5
99.13	16.37	191.73	124.69	40.73	86.17	34.92
99.32	16.29	192.15	124	40.71	86.56	36.29
99.67	16.09	192.27	124.24	40.75	85.46	36.06
100.25	16.15	190.01	123.68	40.72	84.67	36.04
100.83	16.13	196.4	121.83	40.59	84.41	36.1
100.83	16.39	197.02	120.3	40.18	83.79	35.68
100.11	16	197.77	118.7	38.73	83.83	35.36
99.29	15.77	195.19	117.03	38.63	82.67	35.2
99.43	16.12	195.68	116.69	38.89	83.83	35.12
98.35	16.62	196.64	119.1	38.99	84.03	34.92
98.08	16.44	193.29	117.8	38.9	83.42	35.27
97.01	16.38	194.52	117.34	38.62	82.52	35.49
97.87	16.72	191.77	118.8	38.22	82.51	35.55
97.66	17.15	192.69	119.04	38.07	83.41	35.63
97.59	17.23	193.55	119.35	38.33	84.57	35.37
97.9	17.34	194.5	119	38.41	84.51	35.09
98.03	17.2	192.49	118.91	38.66	85.02	35.07
97.24	16.98	190.45	118.5	38.95	81.59	35.07
96.16	17.01	189.83	117.67	38.82	81.37	34.96
95.84	17.18	192.62	117.71	38.61	81.11	34.61
95.91	17.21	195.04	117.09	38.62	81.87	34.72
96.18	17.37	188.25	115.85	38.4	81.3	34.46
95.47	17.56	186.67	115.63	38.44	81.73	34.3
96.6	17.92	187.9	115.51	38.45	81.31	34.09
96.1	17.44	184.71	115.2	38.14	81.21	32.96
97.31	17.19	186.81	116.24	38.4	82.64	32.98
97.6	17.11	185.81	115.07	38.27	82.15	32.89
97.58	16.8	182.21	114.1	38.17	81.59	32.49
97.37	17.16	183.9	114.45	37.97	81.66	32.35
98.71	17.28	186.22	115.65	38.47	82.76	32.38
98.78	17.27	186.76	114.51	38.8	82.8	32.23
95.2	17.47	186.39	115.84	38.65	82.9	32.51
95.5	17.33	187.68	115.08	38.55	83.14	32.54
95.58	17.35	187.64	114.85	38.47	83.82	32.34
95.02	17.25	187.14	114.43	38.35	83.1	32.13
94.98	16.73	186.44	115.32	38.31	82.57	32.15
94.32	16.3	184.26	114.84	38.12	81.29	31.86
95.15	16.53	185.17	115.33	38.2	83.18	31.93
95.08	16.49	185.27	115.69	38.07	82.55	32.23
95.89	16.33	184.06	115.51	37.87	83.41	32
96.62	16.34	183.23	114.97	37.77	83.8	32.17
96.5	16.53	183.45	114.15	37.5	83.52	32.47
96.45	16.29	182.79	112.68	37.18	82.65	32.8
95.75	16.3	184.26	114.6	37.3	82.28	33.18
95.55	16.2	182.95	113.6	37.1	81.76	32.85
96.02	16.47	183.19	112.71	37.47	82.72	32.82
95.78	16.7	183.69	113.48	38.93	82.94	33.15
95.46	16.75	181.84	112.51	38.65	82.28	33.49
94.89	16.75	180.24	112.03	38.51	81.87	32.94
95.34	16.88	179.7	113.58	38.64	80.86	32.95
94.86	16.72	177.14	111.69	38.57	80.6	32.44
95.92	16.82	177.25	112.05	37.95	80.92	32.3
94.94	16.69	174.67	111.27	38.03	79.22	32
93.58	16.4	174.24	109.52	37.61	78.55	32.08
93.09	16.35	172.84	110.83	37.48	78.2	32.45
93.02	16.35	172.9	111.14	37.2	78.62	31.95
94.17	16.75	176.68	111.63	37.82	79.07	33.32
93.8	16.93	177.36	116.45	38.17	79.94	33.35
93.15	16.68	176.4	116	37.9	79.27	33.31
94.18	16.73	176.85	116.84	38.87	79.56	33.7
94.07	16.31	177.9	116.43	38.73	78.78	33.51
94.43	16.45	179.64	116.29	38.84	79.84	33.42
95.32	16.86	182.73	118.39	39.24	81.79	33.8
94.88	17.15	182.25	120.43	39.9	80.79	33.34
95.08	17.01	188.43	120.36	39.92	81.37	33.57
94.93	17.01	190.09	119.29	39.28	81.18	33.7
96.06	17.08	188.76	118.83	39.71	81.78	33.96
95.46	17.15	187.74	119.18	39.76	80.84	33.79
95.22	16.77	185.92	119.57	39.69	80.74	33.48
94.83	16.43	184.16	119.25	39.53	80.39	33.3
95.8	16.77	187.26	121.01	40.13	81.34	33.62
95.46	16.83	187.38	123.29	39.73	80.81	33.54
95.41	16.58	187.97	123.29	39.94	79.71	34.24
96.38	16.5	189.71	125.07	40.39	79.47	34.95
95.85	16.66	186	124.02	40.27	79.19	34.96
96.54	16.41	186.64	124.35	40.46	79.11	34.8
96.41	16.1	185.53	124.14	40.66	78.72	34.95
97.03	15.57	187.57	124.91	41.31	80.38	35.16
97.01	15.54	186.41	124.23	41.09	80.34	35.2
96.91	15.67	185.08	125.23	40.66	80.39	35.18
96.84	15.65	185.35	124.81	40.49	78.96	35.16
96.54	15.7	183.22	123.51	40.19	78.78	34.95
96.3	15.69	182.23	122.8	40.16	78.66	34.69
96.51	15.6	180.02	122.78	40.04	78.32	34.3
95.14	15.75	180.22	123.22	39.86	78.57	34.45
95.93	15.69	178.7	121.6	40.02	77.53	34.38
94.38	15.18	175.76	118.74	39.1	76.69	33.85
95.45	15.24	177.85	120.22	39.27	76.93	34.15
94.44	15.18	172.8	119.9	39.23	76.84	33.85
94.1	15.25	173.37	120.99	39.21	76.63	33.89
95.26	15.25	175.2	122.1	40.13	77.54	33.95
95.43	15.56	177.12	123.66	39.85	78.01	34.4
95.72	15.58	177.46	123.34	40.4	78.37	34.69
96.8	15.56	177.67	122.29	40.46	78.79	34.53
95.43	15.43	176.08	121.1	39.83	77.96	34.25
95.71	15.63	175.74	121.77	40.37	78.05	34.6
96.38	15.54	176.08	122.52	40.35	78.53	34.74
96.51	15.73	177.48	122.34	40.08	79.21	34.8
97.37	15.82	179.68	122.44	40.19	79.12	35.21
97.06	15.83	178.97	122.42	40.19	78.62	35.41
98.2	15.88	177.31	122.78	40.25	79.28	35.28
98.92	15.81	178.94	123.74	40.37	79.53	35.37
98.27	15.64	181.3	124.03	40.43	79.71	35.42
97.7	15.59	184.13	123.46	40.43	79.17	35.3
97.54	15.14	185.19	122	40.06	78.3	35.4
97.98	15.2	185.25	122.06	40.14	78.51	35.72
